date_of_sale,address,county,eircode,price_eur,not_full_market_price,vat_exclusive,property_description,size_description,year,month
01/09/2011,"1 Castle Ave, Upper Churchtown Road, Dublin 14",Dublin,,"€1,155,000.00",No,No,Second-Hand Dwelling house /Apartment,,2011,9
01/09/2011,"1 Sion Villas, Sheares St",Cork,,"€155,000.00",No,No,Second-Hand Dwelling house /Apartment,,2011,9
01/09/2011,"1 The Crescent, Owenabue Heights, Ballea Road Carrigaline",Cork,,"€170,000.00",No,No,Second-Hand Dwelling house /Apartment,,2011,9
01/09/2011,"10  Church Lane, Moate",Westmeath,,"€156,829.00",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,2011,9
01/09/2011,"104 Welwyn Road, Maryborough Woods, Douglas",Cork,,"€127,000.00",No,No,Second-Hand Dwelling house /Apartment,,2011,9
01/09/2011,"11 Moyfenrath, Enfield",Meath,,"€225,000.00",No,No,Second-Hand Dwelling house /Apartment,,2011,9
01/09/2011,"12  Church Lane, Moate",Westmeath,,"€153,304.00",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,2011,9
01/09/2011,"12 Carrig Court, Fortunestown Lane, Saggard",Dublin,,"€120,000.00",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,2011,9
01/09/2011,"12 The Park, Burkeen, Friars Hill",Wicklow,,"€238,000.00",No,No,Second-Hand Dwelling house /Apartment,,2011,9
01/09/2011,"13  Gleann Dara Green, Grenagh",Cork,,"€149,778.00",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,2011,9
01/09/2011,"13 Rushbrook Way, Templeogue, Dublin 6W",Dublin,,"€250,000.00",No,No,Second-Hand Dwelling house /Apartment,,2011,9
01/09/2011,"146 Brooklands, Clane",Kildare,,"€153,524.22",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,2011,9
