date_of_sale,address,county,eircode,price_eur,not_full_market_price,vat_exclusive,property_description,size_description,year,month
01/03/2025,"2 LARKFIELD WALK, CLAY FARM, LEOPARDSTOWN",Dublin,D18A2PA,"€765,000.00",No,No,Second-Hand Dwelling house /Apartment,,2025,3
02/03/2025,"4 RIDGEWOOD MANOR, MELITTA ROAD, KILDARE",Kildare,R51FY27,"€480,000.00",No,No,Second-Hand Dwelling house /Apartment,,2025,3
03/03/2025,"1 Carraig Mor, Blackrock",Louth,,"€643,171.80",No,Yes,New Dwelling house /Apartment,,2025,3
03/03/2025,"1 DUN NA MANACH, QUIN, CLARE",Clare,V95VF90,"€325,000.00",No,No,Second-Hand Dwelling house /Apartment,,2025,3
03/03/2025,"1 MARTELLO LODGE, MARTELLO RD, BALBRIGGAN",Dublin,K32N564,"€250,000.00",No,No,Second-Hand Dwelling house /Apartment,,2025,3
03/03/2025,"10 Ash Grove, Kilcarbery Grange",Dublin,,"€396,475.77",No,Yes,New Dwelling house /Apartment,,2025,3
03/03/2025,"10 CHURCH STREET, CAPPOQUIN, CO WATERFORD",Waterford,P51R5P0,"€155,000.00",No,No,Second-Hand Dwelling house /Apartment,,2025,3
03/03/2025,"10 HILLCOURT DRIVE, COBH, CO CORK",Cork,P24TP68,"€230,000.00",No,No,Second-Hand Dwelling house /Apartment,,2025,3
03/03/2025,"10 INIS ALAINN, FIDDOWN, KILKENNY",Kilkenny,E32WD30,"€249,000.00",No,No,Second-Hand Dwelling house /Apartment,,2025,3
03/03/2025,"101 ROSEMOUNT EST, DUNDRUM, DUBLIN 14",Dublin,D14AD91,"€650,000.00",Yes,No,Second-Hand Dwelling house /Apartment,,2025,3
03/03/2025,"11 CHAPEL LANE, NEW ROSS, WEXFORD",Wexford,Y34KN73,"€90,000.00",No,No,Second-Hand Dwelling house /Apartment,,2025,3
03/03/2025,"11 CHESTNUT AVE, FOTA ROCK, CARRIGTWOHILL",Cork,T45HX23,"€315,000.00",No,No,Second-Hand Dwelling house /Apartment,,2025,3
03/03/2025,"11 REENELLEN, VALENTIA, KERRY",Kerry,V23T324,"€377,000.00",No,No,Second-Hand Dwelling house /Apartment,,2025,3
03/03/2025,"11 ST COLUMBANUS ROAD, MILLTOWN, DUBLIN 14",Dublin,D14X090,"€560,000.00",No,No,Second-Hand Dwelling house /Apartment,,2025,3
03/03/2025,"112 CLOONDARA BALLISODARE, BALLISODARE, SLIGO",Sligo,F91W6H6,"€305,000.00",No,No,Second-Hand Dwelling house /Apartment,,2025,3
03/03/2025,"112 RIDGEWOOD GREEN, FOREST RD, SWORDS",Dublin,K67C438,"€460,000.00",No,No,Second-Hand Dwelling house /Apartment,,2025,3
03/03/2025,"12 BAGENAL COURT, COURT PLACE, CARLOW",Carlow,R93FP70,"€65,000.00",No,No,Second-Hand Dwelling house /Apartment,,2025,3
03/03/2025,"12 Cushina Avenue, Portarlington",Laois,,"€281,938.00",No,Yes,New Dwelling house /Apartment,,2025,3
03/03/2025,"12 THE MAPLES, CASTLEJANE WOODS, GLANMIRE",Cork,T45P515,"€357,000.00",No,No,Second-Hand Dwelling house /Apartment,,2025,3
03/03/2025,"120 Waterfall Heights, WATERFALL ROAD, Bishopstown",Cork,,"€427,312.74",No,Yes,New Dwelling house /Apartment,,2025,3
03/03/2025,"127 SHINGAN, MILEHOUSE RD, ENNISCORTHY",Wexford,Y21VK77,"€140,000.00",Yes,No,Second-Hand Dwelling house /Apartment,,2025,3
03/03/2025,"131 Woodbrook, Gracedieu",Waterford,,"€259,911.89",No,Yes,New Dwelling house /Apartment,,2025,3
03/03/2025,"14 CRESCENT DR, HILLVIEW, WATERFORD",Waterford,X91AK4R,"€306,000.00",No,No,Second-Hand Dwelling house /Apartment,,2025,3
03/03/2025,"14 HARLECH CRESCENT, ROEBUCK RD, CLONSKEAGH DUBLIN 14",Dublin,D14V221,"€900,000.00",No,No,Second-Hand Dwelling house /Apartment,,2025,3
03/03/2025,"14 MUILEANN DRIVE, KETTLES LANE, KINSEALY",Dublin,K67N8N0,"€490,000.00",No,No,Second-Hand Dwelling house /Apartment,,2025,3
03/03/2025,"14 PRIESTOWN AVENUE, KILBRIDE, CO MEATH",Meath,D15YP6F,"€550,000.00",No,No,Second-Hand Dwelling house /Apartment,,2025,3
03/03/2025,"143 BEECH PARK, EASTON RD, LEIXLIP",Kildare,W23NP66,"€455,000.00",No,No,Second-Hand Dwelling house /Apartment,,2025,3
03/03/2025,"146 FURRY PARK RD, KILLESTER, DUBLIN 5",Dublin,D05TV29,"€750,000.00",No,No,Second-Hand Dwelling house /Apartment,,2025,3
03/03/2025,"15 Ballymakenny Place, Ballymakenny Park, Drogheda",Louth,,"€325,991.19",No,Yes,New Dwelling house /Apartment,,2025,3
03/03/2025,"15 CHARVEY COURT, RATHNEW, WICKLOW",Wicklow,A67FY28,"€373,000.00",No,No,Second-Hand Dwelling house /Apartment,,2025,3
03/03/2025,"15 CORISH PARK, WEXFORD, WEXFORD",Wexford,Y35N4T2,"€75,000.00",Yes,No,Second-Hand Dwelling house /Apartment,,2025,3
03/03/2025,"16 PRIORY GROVE, JOHNSTOWN, MEATH",Meath,C15KT2X,"€400,000.00",No,No,Second-Hand Dwelling house /Apartment,,2025,3
03/03/2025,"17 BEECH RISE, CRANN AIRD, FERMOY",Cork,P61CX89,"€10,000.00",No,No,Second-Hand Dwelling house /Apartment,,2025,3
03/03/2025,"17 HAMILTON WAY, BALBRIGGAN, CO DUBLIN",Dublin,K32P821,"€262,000.00",No,No,Second-Hand Dwelling house /Apartment,,2025,3
03/03/2025,"17 Knightswood View, Knightswood, Williamstown",Waterford,,"€345,006.00",No,Yes,New Dwelling house /Apartment,,2025,3
