date_of_sale,address,county,eircode,price_eur,not_full_market_price,vat_exclusive,property_description,size_description,year,month
01/07/2017,"1 CASTLEVIEW TERRACE, LOWER GLANMIRE RD, CORK",Cork,,"€72,500.00",No,No,Second-Hand Dwelling house /Apartment,,2017,7
01/07/2017,"125 BARRACK ST, CORK",Cork,,"€30,000.00",Yes,No,Second-Hand Dwelling house /Apartment,,2017,7
01/07/2017,"20 GRANGE PARK, MULLINGAR, WESTMEATH",Westmeath,,"€129,000.00",No,No,Second-Hand Dwelling house /Apartment,,2017,7
01/07/2017,"5 BEECHGROVE, CASTLEBRIDGE, CO WEXFORD",Wexford,,"€55,000.00",Yes,No,Second-Hand Dwelling house /Apartment,,2017,7
01/07/2017,"APT 1, MANOR HOUSE, THE QUAYS",Tipperary,,"€78,750.00",Yes,No,Second-Hand Dwelling house /Apartment,,2017,7
01/07/2017,"MAIN ST, CRINKLE, BIRR",Offaly,,"€38,000.00",No,No,Second-Hand Dwelling house /Apartment,,2017,7
02/07/2017,"102 DONAGHMORE, THE ANCHORAGE, BETTYSTOWN",Meath,,"€100,000.00",No,No,Second-Hand Dwelling house /Apartment,,2017,7
02/07/2017,"13 ROSEMOUNT EST, DUNDRUM, DUBLIN 14",Dublin,,"€455,000.00",No,No,Second-Hand Dwelling house /Apartment,,2017,7
02/07/2017,"5 ARKLE SQ, THE CHASE, BREWERY RD",Dublin,,"€535,000.00",No,No,Second-Hand Dwelling house /Apartment,,2017,7
02/07/2017,"PATRICK STREET, MULLINGAR, CO WESTMEATH",Westmeath,,"€127,000.00",No,No,Second-Hand Dwelling house /Apartment,,2017,7
03/07/2017,"1 CHURCH VILLA, DUNMORE EAST, WATERFORD",Waterford,,"€375,000.00",No,No,Second-Hand Dwelling house /Apartment,,2017,7
03/07/2017,"1 PLUNKETT TERRACE, MALLOW, CORK",Cork,,"€157,000.00",No,No,Second-Hand Dwelling house /Apartment,,2017,7
03/07/2017,"1 SEASPRAY APTS, BUNDORAN, COUNTY DONEGAL",Donegal,,"€40,000.00",No,No,Second-Hand Dwelling house /Apartment,,2017,7
03/07/2017,"10 CASTLE HILL, SLANE, MEATH",Meath,,"€250,000.00",No,No,Second-Hand Dwelling house /Apartment,,2017,7
03/07/2017,"10 HIGHFIELD GROVE, CAHERSLEE, TRALEE",Kerry,,"€182,000.00",No,No,Second-Hand Dwelling house /Apartment,,2017,7
03/07/2017,"10A CONNOLLY ST, SLIGO",Sligo,,"€60,000.00",No,No,Second-Hand Dwelling house /Apartment,,2017,7
03/07/2017,"11 COLLINS PARK, GALLOWS HILL, ENNIS",Clare,,"€160,000.00",No,No,Second-Hand Dwelling house /Apartment,,2017,7
03/07/2017,"11 SHRUFFAUN, CASTLEBAR, MAYO",Mayo,,"€54,000.00",No,No,Second-Hand Dwelling house /Apartment,,2017,7
03/07/2017,"11 WILLOW CRESCENT, PRIMROSE GATE, HAZELHATCH RD",Kildare,,"€314,000.00",No,No,Second-Hand Dwelling house /Apartment,,2017,7
03/07/2017,"118 ROSELAWN, TRAMORE, CO WATERFORD",Waterford,,"€165,000.00",No,No,Second-Hand Dwelling house /Apartment,,2017,7
03/07/2017,"12 ASHTON GROVE, KNOCKLYON ROAD, DUBLIN 16",Dublin,,"€525,000.00",No,No,Second-Hand Dwelling house /Apartment,,2017,7
03/07/2017,"12 CARRIG GREEN, CARRIG NA CURRA, CARRIGALINE",Cork,,"€247,000.00",No,No,Second-Hand Dwelling house /Apartment,,2017,7
03/07/2017,"12 CASTLEFIELDS, BALTIMORE, CORK",Cork,,"€325,000.00",No,No,Second-Hand Dwelling house /Apartment,,2017,7
03/07/2017,"12 DE SELBY COURT, OLD BLESSINGTON RD, TALLAGHT DUBLIN 24",Dublin,,"€258,000.00",No,No,Second-Hand Dwelling house /Apartment,,2017,7
03/07/2017,"12 HOLYWELL DALE, SWORDS, DUBLIN",Dublin,,"€275,000.00",No,No,Second-Hand Dwelling house /Apartment,,2017,7
03/07/2017,"12 TEMPLE COURT, PROSPEROUS, KILDARE",Kildare,,"€172,000.00",No,No,Second-Hand Dwelling house /Apartment,,2017,7
03/07/2017,"123 MAIN ST, BALLYBAY, MONAGHAN",Monaghan,,"€43,500.00",No,No,Second-Hand Dwelling house /Apartment,,2017,7
03/07/2017,"124 RATHCURRAGH, NEWBRIDGE, KILDARE",Kildare,,"€227,000.00",No,No,Second-Hand Dwelling house /Apartment,,2017,7
03/07/2017,"125 MILLRACE ROAD, PHOENIX PARK RACECOURSE, CASTLEKNOCK",Dublin,,"€230,000.00",No,No,Second-Hand Dwelling house /Apartment,,2017,7
03/07/2017,"12A Deanstown Park, Finglas, Dublin 11",Dublin,,"€233,480.00",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,2017,7
03/07/2017,"12B Deanstown Park, Finglas, Dublin 11",Dublin,,"€233,480.00",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,2017,7
03/07/2017,"13 ADDISON AVE, ADDISON PARK, GLASNEVIN DUBLIN 11",Dublin,,"€640,000.00",No,No,Second-Hand Dwelling house /Apartment,,2017,7
03/07/2017,"13 COOLBAWN QUAY, COOLBAWN, NENAGH",Tipperary,,"€35,000.00",No,No,Second-Hand Dwelling house /Apartment,,2017,7
03/07/2017,"132 FOXFIELD GROVE, RAHENY, DUBLIN 5",Dublin,,"€645,000.00",No,No,Second-Hand Dwelling house /Apartment,,2017,7
03/07/2017,"132 THE HERMITAGE, PORTLAOISE, LAOIS",Laois,,"€92,500.00",No,No,Second-Hand Dwelling house /Apartment,,2017,7
03/07/2017,"135 LYMEWOOD MEWS, SANTRY, DUBLIN 9",Dublin,,"€250,000.00",No,No,Second-Hand Dwelling house /Apartment,,2017,7
03/07/2017,"136 CLONKEEN RD, BLACKROCK, DUBLIN",Dublin,,"€699,000.00",No,No,Second-Hand Dwelling house /Apartment,,2017,7
03/07/2017,"14 WEIR COURT, BALLINA, CO MAYO",Mayo,,"€73,500.00",No,No,Second-Hand Dwelling house /Apartment,,2017,7
03/07/2017,"145 CHERRYWOOD PK, DUBLIN 22, DUBLIN",Dublin,,"€220,000.00",No,No,Second-Hand Dwelling house /Apartment,,2017,7
03/07/2017,"14A Deanstown Park, Finglas, Dublin 11",Dublin,,"€233,280.00",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,2017,7
03/07/2017,"14B Deanstown Park, Finglas, Dublin 11",Dublin,,"€233,480.00",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,2017,7
03/07/2017,"15 THE PADDOCKS, WESTBURY, CORBALLY",Clare,,"€172,000.00",No,No,Second-Hand Dwelling house /Apartment,,2017,7
03/07/2017,"16 RIVERCHAPEL GROVE, RIVERCHAPEL WOOD, COURTOWN",Wexford,,"€182,000.00",No,No,Second-Hand Dwelling house /Apartment,,2017,7
03/07/2017,"163 UPPER SHERIFF ST, NORTH WALL, DUBLIN 1",Dublin,,"€650,000.00",No,No,Second-Hand Dwelling house /Apartment,,2017,7
03/07/2017,"17 MAYDENHAYES MEWS, MAYDENHAYES, MORNINGTON",Meath,,"€285,462.55",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,2017,7
03/07/2017,"17 RUSSELL CRESCENT, JOBSTOWN, TALLAGHT",Dublin,,"€175,000.00",No,No,Second-Hand Dwelling house /Apartment,,2017,7
03/07/2017,"170 TRIMBLESTON, GOATSTOWN RD, GOATSTOWN DUBLIN 14",Dublin,,"€750,000.00",No,No,Second-Hand Dwelling house /Apartment,,2017,7
03/07/2017,"18 KILBRODY, MOUNT OVAL VILLAGE, ROCHESTOWN",Cork,,"€365,000.00",No,No,Second-Hand Dwelling house /Apartment,,2017,7
03/07/2017,"18 SLIABH RUA, FOXFORD, MAYO",Mayo,,"€41,000.00",Yes,No,Second-Hand Dwelling house /Apartment,,2017,7
03/07/2017,"19 FERNHILL APTS, KNOCKRANNY, WESTPORT",Mayo,,"€200,000.00",No,No,Second-Hand Dwelling house /Apartment,,2017,7
