date_of_sale,address,county,eircode,price_eur,not_full_market_price,vat_exclusive,property_description,size_description,year,month
01/01/2024,"1 BELCAMP AVE, PRIORSWOOD RD, DUBLIN 17",Dublin,D17KW20,"€250,000.00",No,No,Second-Hand Dwelling house /Apartment,,2024,1
01/01/2024,"1 OLD CABRA RD, DUBLIN 7, DUBLIN",Dublin,D07E9N1,"€1,300,000.00",No,No,Second-Hand Dwelling house /Apartment,,2024,1
01/01/2024,"10 ROCKFIELD, FINNSTOWN ABBEY, LUCAN",Dublin,K78VY56,"€420,000.00",No,No,Second-Hand Dwelling house /Apartment,,2024,1
01/01/2024,"108 BEECHWOOD COURT, STILLORGAN, DUBLIN",Dublin,A94PF83,"€410,000.00",No,No,Second-Hand Dwelling house /Apartment,,2024,1
01/01/2024,"19 FFORSTER GREEN, LUCAN, DUBLIN",Dublin,K78T635,"€400,000.00",No,No,Second-Hand Dwelling house /Apartment,,2024,1
01/01/2024,"23 CASTLE MANOR, RACECOURSE RD, ROSCOMMON",Roscommon,F42ER25,"€330,000.00",No,No,Second-Hand Dwelling house /Apartment,,2024,1
01/01/2024,"42 KILKEEVAN PARK, CASTLEREA, ROSCOMMON",Roscommon,F45WF59,"€180,000.00",No,No,Second-Hand Dwelling house /Apartment,,2024,1
01/01/2024,"53 MOUNT BELLEW CRESCENT, LUCAN, DUBLIN",Dublin,K78TD73,"€380,000.00",No,No,Second-Hand Dwelling house /Apartment,,2024,1
01/01/2024,"8 ROCKFIELD, FINNSTOWN ABBEY, LUCAN",Dublin,K78WD50,"€420,000.00",No,No,Second-Hand Dwelling house /Apartment,,2024,1
01/01/2024,"91 BEECHWOOD COURT, STILLORGAN, DUBLIN",Dublin,A94H8HY,"€410,000.00",No,No,Second-Hand Dwelling house /Apartment,,2024,1
02/01/2024,"1 MEADOW PARK AVE, CHURCHTOWN, DUBLIN 14",Dublin,D14R9H3,"€495,000.00",No,No,Second-Hand Dwelling house /Apartment,,2024,1
02/01/2024,"10 The Green, Castle Oaks, Breagagh Valley",Kilkenny,,"€355,000.00",No,Yes,New Dwelling house /Apartment,,2024,1
02/01/2024,"11 Beresford Drive, Beresford, Turvey Avenue",Dublin,,"€528,634.00",No,Yes,New Dwelling house /Apartment,,2024,1
02/01/2024,"12 LEANA MOR, CAPPAGH ROAD, GALWAY",Galway,H91PX6C,"€286,344.00",No,Yes,New Dwelling house /Apartment,,2024,1
02/01/2024,"14 BELFRY SQ, CITYWEST, DUBLIN 24",Dublin,D24K272,"€240,000.00",No,No,Second-Hand Dwelling house /Apartment,,2024,1
02/01/2024,"147 KILDARE RD, CRUMLIN, DUBLIN 12",Dublin,D12E7P2,"€220,000.00",No,No,Second-Hand Dwelling house /Apartment,,2024,1
02/01/2024,"149 CUSTOM HALL, GARDINER STREET, DUBLIN 1",Dublin,D01HD72,"€380,000.00",No,No,Second-Hand Dwelling house /Apartment,,2024,1
02/01/2024,"151 GREENHILLS ESTATE, BALLINA, COUNTY MAYO",Mayo,F26V1K2,"€95,000.00",No,No,Second-Hand Dwelling house /Apartment,,2024,1
02/01/2024,"16 Radharc Doire, Smithstown, Shannon",Clare,,"€242,107.91",No,Yes,New Dwelling house /Apartment,,2024,1
02/01/2024,"17 ENNIS GROVE, IRISHTOWN DUBLIN 4, DUBLIN",Dublin,D04NP94,"€676,001.00",No,No,Second-Hand Dwelling house /Apartment,,2024,1
02/01/2024,"1A BAN MILLIS, FETHARD ON SEA, WEXFORD",Wexford,Y34FA43,"€310,000.00",No,No,Second-Hand Dwelling house /Apartment,,2024,1
02/01/2024,"1A OLDCOURT RD, TALLAGHT, DUBLIN",Dublin,D24P6AV,"€375,000.00",No,No,Second-Hand Dwelling house /Apartment,,2024,1
02/01/2024,"21 THE BIRCHES, PELLETSTOWN MANOR, ASHTOWN DUBLIN 15",Dublin,D15A521,"€240,000.00",No,No,Second-Hand Dwelling house /Apartment,,2024,1
02/01/2024,"25 BOTANIC SQ, BOTANIC AVE, DRUMCONDRA DUBLIN 9",Dublin,D09A970,"€345,000.00",No,No,Second-Hand Dwelling house /Apartment,,2024,1
02/01/2024,"29 GREENFIELD DR, MAYNOOTH, KILDARE",Kildare,W23W103,"€300,000.00",No,No,Second-Hand Dwelling house /Apartment,,2024,1
02/01/2024,"32 hawthorn way, Kilcarbery Grange, Dublin 22",Dublin,,"€450,000.00",No,Yes,New Dwelling house /Apartment,,2024,1
