date_of_sale,address,county,eircode,price_eur,not_full_market_price,vat_exclusive,property_description,size_description,year,month
01/10/2023,"STROKE, DERRADDA, BALLINAMORE",Leitrim,,"€80,000.00",No,No,Second-Hand Dwelling house /Apartment,,2023,10
02/10/2023,"1 BRISKILL, NEWTOWNFORBES, CO. LONGFORD",Longford,N39KN88,"€108,000.00",No,No,Second-Hand Dwelling house /Apartment,,2023,10
02/10/2023,"1 CHAPEL VIEW, CROSSMOLINA, MAYO",Mayo,F26TK25,"€100,000.00",No,No,Second-Hand Dwelling house /Apartment,,2023,10
02/10/2023,"1 FERNCOURT CLOSE, FIRHOUSE, DUBLIN 24",Dublin,D24E0CV,"€430,000.00",Yes,No,Second-Hand Dwelling house /Apartment,,2023,10
02/10/2023,"1 KEVIN BARRY VILLAS, TRALEE, KERRY",Kerry,V92K28P,"€120,000.00",No,No,Second-Hand Dwelling house /Apartment,,2023,10
02/10/2023,"1 KILBARRACK GARDENS, DUBLIN 5, DUBLIN",Dublin,D05EN27,"€620,000.00",No,No,Second-Hand Dwelling house /Apartment,,2023,10
02/10/2023,"1 MABEL ST, DRUMCONDRA, DUBLIN 3",Dublin,D03RC97,"€411,000.00",No,No,Second-Hand Dwelling house /Apartment,,2023,10
02/10/2023,"1 RIVERSIDE, CLONROADMORE, ENNIS",Clare,V95X2P1,"€220,000.00",No,No,Second-Hand Dwelling house /Apartment,,2023,10
02/10/2023,"10  The Willows, Elmbury, Carrigtwohill",Cork,,"€334,801.43",No,Yes,New Dwelling house /Apartment,,2023,10
02/10/2023,"10 ANLEY COURT, ESKER LANE, LUCAN",Dublin,K78TX61,"€245,000.00",No,No,Second-Hand Dwelling house /Apartment,,2023,10
02/10/2023,"10 WOLVERTON GLEN, DALKEY, DUBLIN",Dublin,A96C7W0,"€750,000.00",No,No,Second-Hand Dwelling house /Apartment,,2023,10
02/10/2023,"107 HIGHGROVE MOUNT TALBOT, MONASTERY RD, DUBLIN 22",Dublin,D22FF80,"€257,500.00",No,No,Second-Hand Dwelling house /Apartment,,2023,10
02/10/2023,"109 ST AIDAN'S VILLAS, ENNISCORTHY, CO WEXFORD",Wexford,Y21X3E6,"€150,000.00",No,No,Second-Hand Dwelling house /Apartment,,2023,10
02/10/2023,"11 Aderrig Grove, Adamstown, Lucan",Dublin,,"€422,907.48",No,Yes,New Dwelling house /Apartment,,2023,10
02/10/2023,"11 AN CUAR, CUL ARD, CARRIGTWOHILL",Cork,T45RY99,"€308,000.00",No,No,Second-Hand Dwelling house /Apartment,,2023,10
02/10/2023,"11 GLENMORE DR, CAHERDAVIN, LIMERICK",Limerick,V94Y22C,"€273,000.00",No,No,Second-Hand Dwelling house /Apartment,,2023,10
02/10/2023,"118 Monksfield, Abbeyside, Dungarvan",Waterford,,"€396,475.77",No,Yes,New Dwelling house /Apartment,,2023,10
02/10/2023,"124 DUN NA CARRAIGE, SALTHILL, GALWAY",Galway,H91PP9X,"€500,000.00",No,No,New Dwelling house /Apartment,,2023,10
02/10/2023,"13 DUN RIOGA CLOSE, DUNSHAUGHLIN, CO MEATH",Offaly,A85X672,"€482,000.00",No,No,Second-Hand Dwelling house /Apartment,,2023,10
02/10/2023,"13 FATHER CULLEN TERRACE, ENNISCORTHY, WEXFORD",Wexford,Y21F8X6,"€175,000.00",No,No,Second-Hand Dwelling house /Apartment,,2023,10
02/10/2023,"13 The Woods, Ros Mor, Kilmallock Road",Limerick,,"€330,396.50",No,Yes,New Dwelling house /Apartment,,2023,10
02/10/2023,"14  18/19 ST NICHOLAS SQ, BALLYMACTHOMAS, CORK CITY",Cork,T23YX22,"€500,000.00",No,No,Second-Hand Dwelling house /Apartment,,2023,10
02/10/2023,"14 BEACHMOUNT CRESENT, NAVAN, CO MAETH",Meath,C15V523,"€309,000.00",No,No,Second-Hand Dwelling house /Apartment,,2023,10
02/10/2023,"14 DUNMORE LAWN, BALLYMOUNT, DUBLIN 24",Dublin,D24AY2H,"€420,000.00",No,No,Second-Hand Dwelling house /Apartment,,2023,10
02/10/2023,"14 PAIRC NA GREINE, RATHCORMAC, CORK",Cork,P61VY10,"€228,000.00",No,No,Second-Hand Dwelling house /Apartment,,2023,10
02/10/2023,"14 THE CAIRNS, CROSSAKIEL, KELLS",Meath,A82CY26,"€223,000.00",No,No,Second-Hand Dwelling house /Apartment,,2023,10
02/10/2023,"14 The Close, Ballycullen Gate, Dublin 24",Dublin,,"€440,528.63",No,Yes,New Dwelling house /Apartment,,2023,10
02/10/2023,"140 COLLINSWOOD, WHITEHALL, DUBLIN 9",Dublin,D09T6X9,"€553,000.00",No,No,Second-Hand Dwelling house /Apartment,,2023,10
02/10/2023,"141 DROIM LIATH, COLLINS LANE, TULLAMORE",Offaly,R35W8Y1,"€220,000.00",Yes,No,Second-Hand Dwelling house /Apartment,,2023,10
02/10/2023,"145 GLENSIDE, ANNACOTTY, LIMERICK",Limerick,V94E43X,"€323,000.00",No,No,Second-Hand Dwelling house /Apartment,,2023,10
02/10/2023,"149 PEARSE ST, DUBLIN 2",Dublin,D02DR13,"€800,000.00",No,No,Second-Hand Dwelling house /Apartment,,2023,10
02/10/2023,"15 BELARMINE WAY, STEPASIDE, DUBLIN",Dublin,D18KD32,"€640,500.00",No,No,Second-Hand Dwelling house /Apartment,,2023,10
02/10/2023,"15 CHERRY GARDENS DONNYBROOK, DOUGLAS, CORK",Cork,T12E6HT,"€317,000.00",No,No,Second-Hand Dwelling house /Apartment,,2023,10
02/10/2023,"15 Garrai Broc, Passage East",Waterford,,"€277,532.00",No,Yes,New Dwelling house /Apartment,,2023,10
02/10/2023,"156 BOTANIC AVE, GLASNEVIN, DUBLIN 9",Dublin,D09X0W0,"€606,000.00",No,No,Second-Hand Dwelling house /Apartment,,2023,10
02/10/2023,"16 CARNEGIE COURT, NORTH ST, SWORDS",Dublin,K67KR94,"€255,000.00",No,No,Second-Hand Dwelling house /Apartment,,2023,10
02/10/2023,"16 GRATTAN COURT EAST, OFF LOWER MOUNT ST, DUBLIN 2",Dublin,D02KF21,"€970,000.00",No,No,Second-Hand Dwelling house /Apartment,,2023,10
02/10/2023,"16 LEANBEG, LAHINCH ROAD, ENNIS",Clare,V95H2K8,"€230,000.00",No,No,Second-Hand Dwelling house /Apartment,,2023,10
02/10/2023,"16 THE MAPLES, FOREST PARK, BORRIS RD",Laois,R32F250,"€135,000.00",No,No,Second-Hand Dwelling house /Apartment,,2023,10
02/10/2023,"164 SHINGAN, MILEHOUSE RD, ENNISCORTHY",Wexford,Y21C082,"€125,000.00",Yes,No,Second-Hand Dwelling house /Apartment,,2023,10
02/10/2023,"17 ARD NA SI, LIS NA DARA, DUNDALK",Louth,A91AWX9,"€258,000.00",No,No,Second-Hand Dwelling house /Apartment,,2023,10
02/10/2023,"176 BOIREANN BHEAG, ROSCAM, GALWAY",Galway,H91Y261,"€108,750.00",Yes,No,Second-Hand Dwelling house /Apartment,,2023,10
02/10/2023,"18 CANAL DR, PROSPECT WOODS, LONGFORD",Longford,N39H7E8,"€175,000.00",No,No,Second-Hand Dwelling house /Apartment,,2023,10
02/10/2023,"18 FOREST RIDGE CRESCENT, WILTON, CORK",Cork,T12YX9R,"€350,000.00",No,No,Second-Hand Dwelling house /Apartment,,2023,10
02/10/2023,"19 GRANGE PARK, DOUGLAS, CORK",Cork,T12KHF8,"€280,000.00",No,No,Second-Hand Dwelling house /Apartment,,2023,10
02/10/2023,"2 BALLYGIHEN AVE, SANDYCOVE, DUBLIN",Dublin,A96RY70,"€1,900,000.00",No,No,Second-Hand Dwelling house /Apartment,,2023,10
02/10/2023,"2 BEECHCOURT, SWELLAN LOWER, CAVAN",Cavan,H12F962,"€415,000.00",No,No,Second-Hand Dwelling house /Apartment,,2023,10
