date_of_sale,address,county,eircode,price_eur,not_full_market_price,vat_exclusive,property_description,size_description,year,month
01/11/2020,"11 UPPER MAIN ST, CAPPOQUIN, MAIN ST",Waterford,,"€80,000.00",No,No,Second-Hand Dwelling house /Apartment,,2020,11
01/11/2020,"2 PARNELL TERRACE, PATRICK ST, MULLINGAR",Westmeath,,"€65,000.00",Yes,No,Second-Hand Dwelling house /Apartment,,2020,11
01/11/2020,"21 ARD NA GLAISE, KILMACRENNAN, LETTERKENNY",Donegal,,"€50,575.00",Yes,No,Second-Hand Dwelling house /Apartment,,2020,11
01/11/2020,"312 WILLOW CLOSE, ELM PARK, CASTLETROY",Limerick,,"€142,000.00",No,No,Second-Hand Dwelling house /Apartment,,2020,11
01/11/2020,"53 MOUNTAIN VIEW, CARRICK ON SUIR, TIPPERARY",Tipperary,,"€77,437.17",Yes,No,Second-Hand Dwelling house /Apartment,,2020,11
01/11/2020,"53 QUEEN ST, CLONMEL, CO TIPPERARY",Tipperary,,"€60,000.00",No,No,Second-Hand Dwelling house /Apartment,,2020,11
01/11/2020,"8 MOUNT EUSTACE CLOSE, TYRRELSTOWN, DUBLIN 15",Dublin,,"€240,000.00",No,No,Second-Hand Dwelling house /Apartment,,2020,11
01/11/2020,"DOIRE REIDH, DUNISKY, LISSARDA",Cork,,"€120,000.00",Yes,No,Second-Hand Dwelling house /Apartment,,2020,11
01/11/2020,"NUMBER 17 THE GREEN, THE PADDOCKS, HANSFIELD",Dublin,D15WAA6,"€295,000.00",No,Yes,New Dwelling house /Apartment,,2020,11
01/11/2020,"SLEAVEEN EAST, MACROOM, CORK",Cork,,"€55,000.00",No,No,Second-Hand Dwelling house /Apartment,,2020,11
02/11/2020,"1 CALLAGHANS LANE, CARRICK ON SUIR, TIPPERARY",Tipperary,,"€17,500.00",No,No,Second-Hand Dwelling house /Apartment,,2020,11
02/11/2020,"1 Drumcrest, Ballyhaunis Road, Knock",Mayo,,"€14,000.00",No,Yes,New Dwelling house /Apartment,,2020,11
02/11/2020,"1 FINNER, BALLYSHANNON, DONEGAL",Donegal,,"€280,000.00",No,No,Second-Hand Dwelling house /Apartment,,2020,11
02/11/2020,"1 GRAHAMS TERRACE, CHURCH ST, COBH",Cork,,"€290,000.00",No,No,Second-Hand Dwelling house /Apartment,,2020,11
02/11/2020,"1 HIGH STREET, CORK CITY, CORK",Cork,,"€152,000.00",No,No,Second-Hand Dwelling house /Apartment,,2020,11
02/11/2020,"1 Monument View, St. Marnock's Bay, Portmarnock",Dublin,,"€475,771.00",No,Yes,New Dwelling house /Apartment,,2020,11
02/11/2020,"10 STRUAN GLEN, ENNISKERRY ROAD, KILTERNAN",Dublin,,"€715,500.00",No,No,Second-Hand Dwelling house /Apartment,,2020,11
02/11/2020,"102 CLUAIN RI, ASHBOURNE, MEATH",Meath,,"€187,500.00",No,No,Second-Hand Dwelling house /Apartment,,2020,11
02/11/2020,"105 RATHBRAUGHAN PARK, SLIGO, CO SLIGO",Sligo,,"€102,500.00",No,No,Second-Hand Dwelling house /Apartment,,2020,11
02/11/2020,"11 MARLBOROUGH RD, DUBLIN 7, DUBLIN",Dublin,,"€640,000.00",No,No,Second-Hand Dwelling house /Apartment,,2020,11
02/11/2020,"11 Meadowbank Mews, Millers Glen, Swords",Dublin,,"€339,207.00",No,Yes,New Dwelling house /Apartment,,2020,11
02/11/2020,"11 Seascape, Broomhall Court, Keatingstown Road",Wicklow,,"€281,057.27",No,Yes,New Dwelling house /Apartment,,2020,11
02/11/2020,"12 ARDKEEN WOODS, ARDKEEN, WATERFORD",Waterford,,"€182,000.00",No,No,Second-Hand Dwelling house /Apartment,,2020,11
02/11/2020,"12 LOWER KINLESTWON, GREYSTONES, WICKLOW",Wicklow,,"€105,000.00",No,No,Second-Hand Dwelling house /Apartment,,2020,11
02/11/2020,"12 PROSPECT COURT, PROSPECT MANOR, RATHFARNHAM DUBLIN 16",Dublin,,"€425,000.00",No,No,Second-Hand Dwelling house /Apartment,,2020,11
02/11/2020,"12 ROSMEEN PARK, DUN LAOGHAIRE, DUBLIN",Dublin,,"€950,000.00",No,No,Second-Hand Dwelling house /Apartment,,2020,11
02/11/2020,"125 BEAUFORT DOWNS, GRANGE RDE, RATHFARNHAM DUBLIN 14",Dublin,D14K6Y2,"€450,000.00",No,No,Second-Hand Dwelling house /Apartment,,2020,11
02/11/2020,"127 THE SYCAMORES, FRESHFORD RD, KILKENNY",Kilkenny,,"€262,000.00",No,No,Second-Hand Dwelling house /Apartment,,2020,11
02/11/2020,"128 Drakes Point, Crosshaven",Cork,,"€303,964.75",No,Yes,New Dwelling house /Apartment,,2020,11
02/11/2020,"13 BIRCH LAWNS, JOHNSTOWN WOOD, MEATH",Meath,,"€240,000.00",No,No,Second-Hand Dwelling house /Apartment,,2020,11
02/11/2020,"13 Hunters Hill, Gorey",Wexford,,"€229,074.89",No,Yes,New Dwelling house /Apartment,,2020,11
02/11/2020,"13 PARK DALE, GRANGERATH, DROGHEDA",Meath,,"€95,700.00",Yes,No,Second-Hand Dwelling house /Apartment,,2020,11
02/11/2020,"13 Shackleton Lawn, Shackleton Park, Lucan",Dublin,,"€330,396.50",No,Yes,New Dwelling house /Apartment,,2020,11
02/11/2020,"13 STANDHOUSE ROAD, NEWBRIDGE, KILDARE",Kildare,,"€317,000.00",No,No,Second-Hand Dwelling house /Apartment,,2020,11
02/11/2020,"13 The Shore, Marina Village, Greystones",Wicklow,,"€682,819.38",No,Yes,New Dwelling house /Apartment,,2020,11
