date_of_sale,address,county,eircode,price_eur,not_full_market_price,vat_exclusive,property_description,size_description,year,month
01/05/2013,"1 Cregaun, Toberteascain, Ennis",Clare,,"€155,000.00",No,No,Second-Hand Dwelling house /Apartment,,2013,5
01/05/2013,"1 Mahon Park, Blackrock, Cork",Cork,,"€87,500.00",No,No,Second-Hand Dwelling house /Apartment,,2013,5
01/05/2013,"1 Upper Georges Street, Gort",Galway,,"€33,333.33",No,No,Second-Hand Dwelling house /Apartment,,2013,5
01/05/2013,"10 Carrick St, Mullinahone",Tipperary,,"€50,000.00",No,No,Second-Hand Dwelling house /Apartment,,2013,5
01/05/2013,"11 Beverley Court, Knocklyon",Dublin,,"€300,000.00",No,No,Second-Hand Dwelling house /Apartment,,2013,5
01/05/2013,"111  Lower Glanmire Road, Cork",Cork,,"€95,000.00",No,No,Second-Hand Dwelling house /Apartment,,2013,5
01/05/2013,"112 Ros Ard, Upper Glanmire, Co. Cork",Cork,,"€175,000.00",No,No,Second-Hand Dwelling house /Apartment,,2013,5
01/05/2013,"12 The Warrens, Swords Road, Malahide",Dublin,,"€345,000.00",No,No,Second-Hand Dwelling house /Apartment,,2013,5
01/05/2013,"13 CHARLEVILLE AVENUE, NORTH STRAND",Dublin,,"€90,000.00",No,No,Second-Hand Dwelling house /Apartment,,2013,5
01/05/2013,"13 WILLOWBANK, QUARTERTOWN, MALLOW",Cork,,"€138,000.00",No,No,Second-Hand Dwelling house /Apartment,,2013,5
01/05/2013,"135 Seafield Road East, Clontarf",Dublin,,"€875,000.00",No,No,Second-Hand Dwelling house /Apartment,,2013,5
01/05/2013,"17 An Moinear, Cul Ard, Carrigtwohill",Cork,,"€90,000.00",No,No,Second-Hand Dwelling house /Apartment,,2013,5
01/05/2013,"18 Bridgewater Court, Bridge Street, Gawlay",Galway,,"€82,000.00",No,No,Second-Hand Dwelling house /Apartment,,2013,5
01/05/2013,"19 Avondale Court, Cahir",Tipperary,,"€155,000.00",No,No,Second-Hand Dwelling house /Apartment,,2013,5
01/05/2013,"19 Ban Na Greine, Craddockstown Road, Naas",Kildare,,"€332,000.00",No,No,Second-Hand Dwelling house /Apartment,,2013,5
01/05/2013,"19 Caledon Road, East Wall, Dublin 3",Dublin,,"€100,000.00",No,No,Second-Hand Dwelling house /Apartment,,2013,5
01/05/2013,"19 RIVER VILLAGE, MONKSLAND, ATHLONE",Roscommon,,"€45,000.00",No,No,Second-Hand Dwelling house /Apartment,,2013,5
01/05/2013,"1st Floor, 36  Calderwood Road, Drumcondra",Dublin,,"€120,000.00",No,No,Second-Hand Dwelling house /Apartment,,2013,5
01/05/2013,"2 Upper Georges Street, Gort",Galway,,"€33,333.33",No,No,Second-Hand Dwelling house /Apartment,,2013,5
01/05/2013,"20 Mountain View, Pollerton, Carlow",Carlow,,"€96,000.00",No,No,Second-Hand Dwelling house /Apartment,,2013,5
01/05/2013,"20 Ros Gael, Dunmanway",Cork,,"€167,500.00",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,2013,5
01/05/2013,"20 Sunny Hill Grove, Dromnevane, Kenmare",Kerry,,"€105,000.00",No,No,Second-Hand Dwelling house /Apartment,,2013,5
01/05/2013,"21 Castleview, Dunboyne",Meath,,"€90,000.00",No,No,Second-Hand Dwelling house /Apartment,,2013,5
01/05/2013,"21 St. Laurence's Fields, Loughrea",Galway,,"€34,691.00",Yes,No,Second-Hand Dwelling house /Apartment,,2013,5
01/05/2013,"22 Elm Road, Riverbank, Annacotty",Limerick,,"€177,000.00",No,No,Second-Hand Dwelling house /Apartment,,2013,5
01/05/2013,"23 Springfield Glen, Dublin Road, Navan",Meath,,"€330,000.00",No,No,Second-Hand Dwelling house /Apartment,,2013,5
